TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,55206,44,55,55D,553,0,GERCOURT ET DRILLANCOURT,Gercourt-et-Drillancourt,Gercourt-et-Drillancourt,5506,
COM,55207,44,55,55D,551,0,GERY,Géry,Géry,5502,
COM,55208,44,55,55D,553,0,GESNES EN ARGONNE,Gesnes-en-Argonne,Gesnes-en-Argonne,5506,
COM,55210,44,55,55D,552,0,GIMECOURT,Gimécourt,Gimécourt,5508,
COM,55211,44,55,55D,553,0,GINCREY,Gincrey,Gincrey,5504,
COM,55212,44,55,55D,552,0,GIRAUVOISIN,Girauvoisin,Girauvoisin,5507,
COMA,55213,,,,,0,GIRONVILLE SOUS LES COTES,Gironville-sous-les-Côtes,Gironville-sous-les-Côtes,,55258
COM,55214,44,55,55D,551,0,GIVRAUVAL,Givrauval,Givrauval,5510,
COM,55215,44,55,55D,552,0,GONDRECOURT LE CHATEAU,Gondrecourt-le-Château,Gondrecourt-le-Château,5510,
COM,55216,44,55,55D,553,0,GOURAINCOURT,Gouraincourt,Gouraincourt,5505,
COM,55217,44,55,55D,552,0,GOUSSAINCOURT,Goussaincourt,Goussaincourt,5515,
COM,55218,44,55,55D,553,0,GREMILLY,Gremilly,Gremilly,5511,
COM,55219,44,55,55D,553,0,GRIMAUCOURT EN WOEVRE,Grimaucourt-en-Woëvre,Grimaucourt-en-Woëvre,5504,
COM,55220,44,55,55D,552,0,GRIMAUCOURT PRES SAMPIGNY,Grimaucourt-près-Sampigny,Grimaucourt-près-Sampigny,5507,
COM,55221,44,55,55D,551,0,GUERPONT,Guerpont,Guerpont,5501,
COM,55222,44,55,55D,553,0,GUSSAINVILLE,Gussainville,Gussainville,5509,
COMA,55223,,,,,1,HADONVILLE LES LACHAUSSEE,Hadonville-lès-Lachaussée,Hadonville-lès-Lachaussée,,55267
COM,55224,44,55,55D,551,1,HAIRONVILLE,Haironville,Haironville,5501,
COM,55225,44,55,55D,553,0,HALLES SOUS LES COTES,Halles-sous-les-Côtes,Halles-sous-les-Côtes,5514,
COM,55226,44,55,55D,553,0,HAN LES JUVIGNY,Han-lès-Juvigny,Han-lès-Juvigny,5511,
COM,55228,44,55,55D,553,0,HANNONVILLE SOUS LES COTES,Hannonville-sous-les-Côtes,Hannonville-sous-les-Côtes,5509,
COM,55229,44,55,55D,552,0,HAN SUR MEUSE,Han-sur-Meuse,Han-sur-Meuse,5513,
COMA,55230,,,,,0,HARAUMONT,Haraumont,Haraumont,,55571
COMA,55231,,,,,0,HARGEVILLE SUR CHEE,Hargeville-sur-Chée,Hargeville-sur-Chée,,55123
COM,55232,44,55,55D,553,0,HARVILLE,Harville,Harville,5509,
COMA,55233,,,,,1,HATTONCHATEL,Hattonchâtel,Hattonchâtel,,55551
COMA,55234,,,,,1,HATTONVILLE,Hattonville,Hattonville,,55551
COMA,55235,,,,,1,HAUCOURT LA RIGOLE,Haucourt-la-Rigole,Haucourt-la-Rigole,,55500
COM,55236,44,55,55D,553,1,HAUDAINVILLE,Haudainville,Haudainville,5517,
COM,55237,44,55,55D,553,1,HAUDIOMONT,Haudiomont,Haudiomont,5509,
COMA,55238,,,,,1,HAUMONT LES LACHAUSSEE,Haumont-lès-Lachaussée,Haumont-lès-Lachaussée,,55267
COM,55239,44,55,55D,553,1,HAUMONT PRES SAMOGNEUX,Haumont-près-Samogneux,Haumont-près-Samogneux,5504,
COMA,55240,,,,,1,HAUTECOURT LES BROVILLE,Hautecourt-lès-Broville,Hautecourt-lès-Broville,,55002
COM,55241,44,55,55D,553,1,HEIPPES,Heippes,Heippes,5508,
COM,55242,44,55,55D,553,1,HENNEMONT,Hennemont,Hennemont,5509,
COM,55243,44,55,55D,553,1,HERBEUVILLE,Herbeuville,Herbeuville,5509,
